 ObserverTime   Thickness    Loading      Total     Observer
  0.0000         -0.0487      1.1400      1.0913        1
 0.20906E-04     -0.0544      1.1992      1.1448        1
 0.41812E-04     -0.0603      1.1988      1.1384        1
 0.62718E-04     -0.0662      1.2010      1.1347        1
 0.83624E-04     -0.0723      1.1772      1.1048        1
 0.10453E-03     -0.0785      1.0429      0.9644        1
 0.12544E-03     -0.0848      0.7730      0.6881        1
 0.14634E-03     -0.0912      0.3541      0.2629        1
 0.16725E-03     -0.0976     -0.1420     -0.2395        1
 0.18815E-03     -0.1041     -0.7511     -0.8552        1
 0.20906E-03     -0.1106     -1.6905     -1.8012        1
 0.22997E-03     -0.1173     -3.1844     -3.3017        1
 0.25087E-03     -0.1239     -4.7806     -4.9045        1
 0.27178E-03     -0.1305     -6.3088     -6.4393        1
 0.29268E-03     -0.1372     -7.4438     -7.5810        1
 0.31359E-03     -0.1437     -8.0306     -8.1743        1
 0.33450E-03     -0.1504     -8.3322     -8.4825        1
 0.35540E-03     -0.1568     -8.1005     -8.2573        1
 0.37631E-03     -0.1632     -6.9632     -7.1264        1
 0.39721E-03     -0.1695     -5.0817     -5.2512        1
 0.41812E-03     -0.1755     -3.1436     -3.3191        1
 0.43903E-03     -0.1817     -1.3658     -1.5475        1
 0.45993E-03     -0.1874     -0.0277     -0.2152        1
 0.48084E-03     -0.1930      0.8345      0.6414        1
 0.50174E-03     -0.1984      1.4530      1.2546        1
 0.52265E-03     -0.2034      1.6584      1.4550        1
 0.54356E-03     -0.2083      1.5779      1.3695        1
 0.56446E-03     -0.2127      1.4460      1.2333        1
 0.58537E-03     -0.2170      1.2722      1.0552        1
 0.60627E-03     -0.2207      1.1552      0.9344        1
 0.62718E-03     -0.2241      1.0454      0.8213        1
 0.64809E-03     -0.2272      0.9421      0.7149        1
 0.66899E-03     -0.2297      0.8794      0.6498        1
 0.68990E-03     -0.2320      0.8069      0.5749        1
 0.71080E-03     -0.2336      0.7347      0.5012        1
 0.73171E-03     -0.2349      0.6366      0.4017        1
 0.75262E-03     -0.2358      0.5426      0.3067        1
 0.77352E-03     -0.2359      0.4474      0.2115        1
 0.79443E-03     -0.2360      0.3545      0.1185        1
 0.81533E-03     -0.2353      0.2789      0.0436        1
 0.83624E-03     -0.2340      0.2194     -0.0146        1
 0.85715E-03     -0.2327      0.1671     -0.0655        1
 0.87805E-03     -0.2305      0.1103     -0.1202        1
 0.89896E-03     -0.2279      0.0461     -0.1818        1
 0.91986E-03     -0.2253     -0.0286     -0.2539        1
 0.94077E-03     -0.2216     -0.1090     -0.3306        1
 0.96168E-03     -0.2180     -0.1801     -0.3981        1
 0.98258E-03     -0.2140     -0.2340     -0.4480        1
 0.10035E-02     -0.2092     -0.2715     -0.4808        1
 0.10244E-02     -0.2047     -0.2884     -0.4931        1
 0.10453E-02     -0.1993     -0.2777     -0.4770        1
 0.10662E-02     -0.1940     -0.2585     -0.4525        1
 0.10871E-02     -0.1883     -0.2539     -0.4422        1
 0.11080E-02     -0.1822     -0.2478     -0.4301        1
 0.11289E-02     -0.1763     -0.2351     -0.4114        1
 0.11498E-02     -0.1697     -0.2178     -0.3876        1
 0.11707E-02     -0.1634     -0.2152     -0.3786        1
 0.11916E-02     -0.1568     -0.2188     -0.3756        1
 0.12125E-02     -0.1500     -0.2302     -0.3802        1
